"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 16 21:18:19 GMT+05:00 2025","Sun Mar 16 21:18:24 GMT+05:00 2025","4855","","RegisterTest","","RegisterTest","testRegistrationWithInvalidPassword","testRegistrationWithInvalidPassword",""
"passed","Sun Mar 16 21:17:39 GMT+05:00 2025","Sun Mar 16 21:17:47 GMT+05:00 2025","7817","","LoginTest","","LoginTest","testLogin","testLogin",""
"passed","Sun Mar 16 21:17:54 GMT+05:00 2025","Sun Mar 16 21:18:02 GMT+05:00 2025","7645","","ProfileNavigationTest","","ProfileNavigationTest","testConstructorButton","testConstructorButton",""
"passed","Sun Mar 16 21:17:17 GMT+05:00 2025","Sun Mar 16 21:17:22 GMT+05:00 2025","5681","","ConstructorNavigationTest","","ConstructorNavigationTest","testTabNavigationAndScroll[Тест вкладки: Соусы]","testTabNavigationAndScroll[Тест вкладки: Соусы]",""
"passed","Sun Mar 16 21:17:27 GMT+05:00 2025","Sun Mar 16 21:17:39 GMT+05:00 2025","11729","","LoginTest","","LoginTest","testLoginWithIncorrectPassword","testLoginWithIncorrectPassword",""
"passed","Sun Mar 16 21:18:02 GMT+05:00 2025","Sun Mar 16 21:18:11 GMT+05:00 2025","8982","","ProfileNavigationTest","","ProfileNavigationTest","testLogoNavigation","testLogoNavigation",""
"passed","Sun Mar 16 21:18:24 GMT+05:00 2025","Sun Mar 16 21:18:31 GMT+05:00 2025","6896","","RegisterTest","","RegisterTest","testSuccessfulRegistration","testSuccessfulRegistration",""
"passed","Sun Mar 16 21:17:09 GMT+05:00 2025","Sun Mar 16 21:17:17 GMT+05:00 2025","7427","","ConstructorNavigationTest","","ConstructorNavigationTest","testTabNavigationAndScroll[Тест вкладки: Булки]","testTabNavigationAndScroll[Тест вкладки: Булки]",""
"passed","Sun Mar 16 21:17:47 GMT+05:00 2025","Sun Mar 16 21:17:54 GMT+05:00 2025","7566","","LoginTest","","LoginTest","testPasswordRecoveryProcess","testPasswordRecoveryProcess",""
"passed","Sun Mar 16 21:18:11 GMT+05:00 2025","Sun Mar 16 21:18:19 GMT+05:00 2025","8510","","ProfileNavigationTest","","ProfileNavigationTest","testLogout","testLogout",""
"passed","Sun Mar 16 21:17:22 GMT+05:00 2025","Sun Mar 16 21:17:27 GMT+05:00 2025","4705","","ConstructorNavigationTest","","ConstructorNavigationTest","testTabNavigationAndScroll[Тест вкладки: Начинки]","testTabNavigationAndScroll[Тест вкладки: Начинки]",""
